date,amount,phase,containment,zone,plume_group,region
2100-01-01,0.0,gas,hazardous,toptherys,all,all
2120-01-01,0.0,gas,hazardous,toptherys,all,all
2140-01-01,0.0,gas,hazardous,toptherys,all,all
2160-01-01,0.0,gas,hazardous,toptherys,all,all
2180-01-01,0.0,gas,hazardous,toptherys,all,all
2200-01-01,0.0,gas,hazardous,toptherys,all,all
2020-01-01,0.0,total,outside,toptherys,all,all
2040-01-01,0.0,total,outside,toptherys,all,all
2060-01-01,0.0,total,outside,toptherys,all,all
2080-01-01,0.0,total,outside,toptherys,all,all
2100-01-01,0.0,total,outside,toptherys,all,all
2120-01-01,0.0,total,outside,toptherys,all,all
2140-01-01,0.0,total,outside,toptherys,all,all
2160-01-01,1.1098299665496888e-11,total,outside,toptherys,all,all
2180-01-01,1.0612716599933084e-10,total,outside,toptherys,all,all
2200-01-01,6.635320981770202e-10,total,outside,toptherys,all,all
2020-01-01,0.0,dissolved_water,outside,toptherys,all,all
2040-01-01,0.0,dissolved_water,outside,toptherys,all,all
2060-01-01,0.0,dissolved_water,outside,toptherys,all,all
2080-01-01,0.0,dissolved_water,outside,toptherys,all,all
2100-01-01,0.0,dissolved_water,outside,toptherys,all,all
2120-01-01,0.0,dissolved_water,outside,toptherys,all,all
2140-01-01,0.0,dissolved_water,outside,toptherys,all,all
2160-01-01,3.2236972695086035e-13,dissolved_water,outside,toptherys,all,all
2180-01-01,3.082651086781696e-12,dissolved_water,outside,toptherys,all,all
2200-01-01,1.9273462400501937e-11,dissolved_water,outside,toptherys,all,all
2020-01-01,0.0,gas,outside,toptherys,all,all
2040-01-01,0.0,gas,outside,toptherys,all,all
2060-01-01,0.0,gas,outside,toptherys,all,all
2080-01-01,0.0,gas,outside,toptherys,all,all
2100-01-01,0.0,gas,outside,toptherys,all,all
2120-01-01,0.0,gas,outside,toptherys,all,all
2140-01-01,0.0,gas,outside,toptherys,all,all
2160-01-01,1.0775929938546027e-11,gas,outside,toptherys,all,all
2180-01-01,1.0304451491254915e-10,gas,outside,toptherys,all,all
2200-01-01,6.442586357765183e-10,gas,outside,toptherys,all,all
2020-01-01,6828442.81597729,total,total,topvolantis,all,all
2040-01-01,7418154.098245815,total,total,topvolantis,all,all
2060-01-01,8014155.849428576,total,total,topvolantis,all,all
2080-01-01,8623607.357255142,total,total,topvolantis,all,all
2100-01-01,9252953.42871242,total,total,topvolantis,all,all
2120-01-01,9907267.609597953,total,total,topvolantis,all,all
2140-01-01,10589914.386092806,total,total,topvolantis,all,all
2160-01-01,11302584.85188271,total,total,topvolantis,all,all
2180-01-01,12045598.254702957,total,total,topvolantis,all,all
2200-01-01,12818315.461612789,total,total,topvolantis,all,all
2020-01-01,292738.18957132834,dissolved_water,total,topvolantis,all,all
2040-01-01,317849.2031474968,dissolved_water,total,topvolantis,all,all
2060-01-01,343085.26484407607,dissolved_water,total,topvolantis,all,all
2080-01-01,368690.8059246236,dissolved_water,total,topvolantis,all,all
2100-01-01,394880.82887006697,dissolved_water,total,topvolantis,all,all
2120-01-01,421824.1913112206,dissolved_water,total,topvolantis,all,all
2140-01-01,449636.8106923117,dissolved_water,total,topvolantis,all,all
2160-01-01,478384.0095235439,dissolved_water,total,topvolantis,all,all
2180-01-01,508088.25126092933,dissolved_water,total,topvolantis,all,all
2200-01-01,538738.9085372664,dissolved_water,total,topvolantis,all,all
2020-01-01,6535704.626405963,gas,total,topvolantis,all,all
2040-01-01,7100304.895098318,gas,total,topvolantis,all,all
2060-01-01,7671070.584584501,gas,total,topvolantis,all,all
2080-01-01,8254916.551330517,gas,total,topvolantis,all,all
2100-01-01,8858072.599842353,gas,total,topvolantis,all,all
2120-01-01,9485443.418286733,gas,total,topvolantis,all,all
2140-01-01,10140277.575400496,gas,total,topvolantis,all,all
2160-01-01,10824200.842359165,gas,total,topvolantis,all,all
2180-01-01,11537510.003442029,gas,total,topvolantis,all,all
2200-01-01,12279576.553075522,gas,total,topvolantis,all,all
2020-01-01,6817007.7903243,total,contained,topvolantis,all,all
2040-01-01,7393443.101703227,total,contained,topvolantis,all,all
2060-01-01,7965713.329230028,total,contained,topvolantis,all,all
2080-01-01,8536452.140281646,total,contained,topvolantis,all,all
2100-01-01,9107665.425116092,total,contained,topvolantis,all,all
2120-01-01,9680900.100279257,total,contained,topvolantis,all,all
2140-01-01,10257458.573764242,total,contained,topvolantis,all,all
2160-01-01,10838487.224683175,total,contained,topvolantis,all,all
2180-01-01,11424892.480252234,total,contained,topvolantis,all,all
2200-01-01,12017163.440957643,total,contained,topvolantis,all,all
2020-01-01,292406.03882141615,dissolved_water,contained,topvolantis,all,all
2040-01-01,317131.4273234415,dissolved_water,contained,topvolantis,all,all
2060-01-01,341678.1603642999,dissolved_water,contained,topvolantis,all,all
2080-01-01,366159.20543192024,dissolved_water,contained,topvolantis,all,all
2100-01-01,390660.6023905211,dissolved_water,contained,topvolantis,all,all
2120-01-01,415248.70406724926,dissolved_water,contained,topvolantis,all,all
2140-01-01,439979.3754359917,dissolved_water,contained,topvolantis,all,all
2160-01-01,464901.78882946004,dissolved_water,contained,topvolantis,all,all
2180-01-01,490054.82417854416,dissolved_water,contained,topvolantis,all,all
2200-01-01,515459.460766261,dissolved_water,contained,topvolantis,all,all
2020-01-01,6524601.751502884,gas,contained,topvolantis,all,all
2040-01-01,7076311.674379785,gas,contained,topvolantis,all,all
2060-01-01,7624035.168865728,gas,contained,topvolantis,all,all
2080-01-01,8170292.934849725,gas,contained,topvolantis,all,all
2100-01-01,8717004.822725572,gas,contained,topvolantis,all,all
2120-01-01,9265651.396212008,gas,contained,topvolantis,all,all
2140-01-01,9817479.198328251,gas,contained,topvolantis,all,all
2160-01-01,10373585.435853714,gas,contained,topvolantis,all,all
2180-01-01,10934837.65607369,gas,contained,topvolantis,all,all
2200-01-01,11501703.980191382,gas,contained,topvolantis,all,all
2020-01-01,0.0032515758186972693,total,hazardous,topvolantis,all,all
2040-01-01,0.018484232235212478,total,hazardous,topvolantis,all,all
2060-01-01,0.08616519284153898,total,hazardous,topvolantis,all,all
2080-01-01,0.34033882270418286,total,hazardous,topvolantis,all,all
2100-01-01,1.1689283402905828,total,hazardous,topvolantis,all,all
2120-01-01,3.5642711287250632,total,hazardous,topvolantis,all,all
2140-01-01,9.81209440728165,total,hazardous,topvolantis,all,all
2160-01-01,24.72523749093017,total,hazardous,topvolantis,all,all
2180-01-01,57.683302981587275,total,hazardous,topvolantis,all,all
2200-01-01,125.78000376690652,total,hazardous,topvolantis,all,all
2020-01-01,0.0003160325714569936,dissolved_water,hazardous,topvolantis,all,all
2040-01-01,0.001796550279132926,dissolved_water,hazardous,topvolantis,all,all
2060-01-01,0.00837471090393005,dissolved_water,hazardous,topvolantis,all,all
2080-01-01,0.03307877758450716,dissolved_water,hazardous,topvolantis,all,all
2100-01-01,0.11361242973537518,dissolved_water,hazardous,topvolantis,all,all
2120-01-01,0.34642457472580196,dissolved_water,hazardous,topvolantis,all,all
2140-01-01,0.9536734186178026,dissolved_water,hazardous,topvolantis,all,all
2160-01-01,2.403136454395877,dissolved_water,hazardous,topvolantis,all,all
2180-01-01,5.606451636950477,dissolved_water,hazardous,topvolantis,all,all
2200-01-01,12.225019573509966,dissolved_water,hazardous,topvolantis,all,all
2020-01-01,0.0029355432472402757,gas,hazardous,topvolantis,all,all
2040-01-01,0.01668768195607955,gas,hazardous,topvolantis,all,all
2060-01-01,0.07779048193760893,gas,hazardous,topvolantis,all,all
2080-01-01,0.3072600451196757,gas,hazardous,topvolantis,all,all
2100-01-01,1.0553159105552077,gas,hazardous,topvolantis,all,all
2120-01-01,3.2178465539992613,gas,hazardous,topvolantis,all,all
2140-01-01,8.858420988663848,gas,hazardous,topvolantis,all,all
2160-01-01,22.322101036534292,gas,hazardous,topvolantis,all,all
2180-01-01,52.0768513446368,gas,hazardous,topvolantis,all,all
2200-01-01,113.55498419339655,gas,hazardous,topvolantis,all,all
2020-01-01,11435.022401414997,total,outside,topvolantis,all,all
2040-01-01,24710.978058357057,total,outside,topvolantis,all,all
2060-01-01,48442.43403335586,total,outside,topvolantis,all,all
2080-01-01,87154.87663467304,total,outside,topvolantis,all,all
2100-01-01,145286.83466798812,total,outside,topvolantis,all,all
2120-01-01,226363.9450475676,total,outside,topvolantis,all,all
2140-01-01,332446.0002341584,total,outside,topvolantis,all,all
2160-01-01,464072.90196204477,total,outside,topvolantis,all,all
2180-01-01,620648.0911477443,total,outside,topvolantis,all,all
2200-01-01,801026.2406513793,total,outside,topvolantis,all,all
2020-01-01,332.15043387964624,dissolved_water,outside,topvolantis,all,all
2040-01-01,717.7740275050154,dissolved_water,outside,topvolantis,all,all
2060-01-01,1407.096105065282,dissolved_water,outside,topvolantis,all,all
2080-01-01,2531.567413925795,dissolved_water,outside,topvolantis,all,all
2100-01-01,4220.112867116136,dissolved_water,outside,topvolantis,all,all
2120-01-01,6575.1408193965735,dissolved_water,outside,topvolantis,all,all
2140-01-01,9656.481582901386,dissolved_water,outside,topvolantis,all,all
2160-01-01,13479.817557629429,dissolved_water,outside,topvolantis,all,all
2180-01-01,18027.820630748232,dissolved_water,outside,topvolantis,all,all
2200-01-01,23267.222751432,dissolved_water,outside,topvolantis,all,all
2020-01-01,11102.871967535351,gas,outside,topvolantis,all,all
2040-01-01,23993.20403085204,gas,outside,topvolantis,all,all
2060-01-01,47035.33792829057,gas,outside,topvolantis,all,all
2080-01-01,84623.30922074725,gas,outside,topvolantis,all,all
2100-01-01,141066.72180087198,gas,outside,topvolantis,all,all
2120-01-01,219788.80422817104,gas,outside,topvolantis,all,all
2140-01-01,322789.51865125704,gas,outside,topvolantis,all,all
2160-01-01,450593.08440441533,gas,outside,topvolantis,all,all
2180-01-01,602620.270516996,gas,outside,topvolantis,all,all
2200-01-01,777759.0178999474,gas,outside,topvolantis,all,all
2020-01-01,200710.82886890598,total,total,topvolon,all,all
2040-01-01,230020.18261674634,total,total,topvolon,all,all
2060-01-01,261828.72899163188,total,total,topvolon,all,all
